[16.528069],3.4283125400543213,346.67215,2474.0,155.0,151.34135,153.80962,0.38996136,3.7689762,0
[17.178135],3.4622159004211426,348.01108,2676.0,155.5,150.71008,153.17198,0.4387306,3.690892,1
[5.6795545],1.8939107656478882,299.19614,1384.0,138.5,153.92929,155.4249,0.1511439,8.017585,0
[5.924293],1.9366862773895264,301.38376,1475.0,129.5,153.30716,154.80574,0.2984126,5.9968266,1
[7.0720797],2.250891923904419,461.3175,1938.0,49.0,58.43951,46.029896,0.08310259,11.464432,0
[7.509512],2.312260627746582,464.75375,2108.0,49.0,58.255135,45.90764,0.25973257,7.4089723,1
[3.6081314],1.059043526649475,154.08621,773.0,212.5,205.55754,207.2244,0.25812104,4.827419,0
[3.7795026],1.106509804725647,156.86916,778.0,211.0,204.52391,206.18513,0.46274072,3.9218435,1
[25.147526],4.723461627960205,626.674,4127.0,108.5,105.66549,107.27064,0.3292143,3.6690514,0
[26.769909],4.834026336669922,628.4494,4402.0,104.0,105.46967,107.07276,0.39260218,3.896486,1
[12.215619],2.921872138977051,420.14587,2417.0,128.5,108.483574,47.211945,0.19263582,5.2158175,0
[12.572337],2.9563024044036865,421.6657,2487.0,124.0,107.72756,47.008793,0.27425852,5.8448033,1
[10.673294],2.8336784839630127,313.67093,1811.0,145.0,172.73706,174.0824,0.23341917,5.0242257,0
[11.0905],2.8802764415740967,314.6953,1871.0,147.0,172.48636,173.83247,0.30382964,5.372953,1
[62.81999],5.7212324142456055,209.09824,2570.0,257.5,199.19017,200.52379,0.5614735,2.0462573,0
[40.909004],4.346486568450928,199.28221,2212.0,248.0,198.8071,200.15027,0.45828232,2.7779691,1
[7.1499867],2.3437600135803223,563.68335,2431.0,2.0,40.913666,11.498465,0.29890874,4.9652095,0
[7.45571],2.380472421646118,565.28253,2651.0,2.0,40.886326,11.50215,0.3534784,4.793339,1
[123.43702],9.4340181350708,422.34006,5883.0,144.0,120.98063,123.76618,0.83638,1.2013978,0
[122.016685],9.37150764465332,426.24884,5918.0,151.0,119.85093,122.65222,0.85994554,1.2632302,1
[37.908882],5.127444267272949,319.17615,3174.0,170.0,192.90576,194.054,0.40967524,2.551188,0
[26.471647],4.402053356170654,310.23102,2694.0,167.0,192.16277,193.31792,0.3410922,3.9078224,1
[6.4947214],1.8781940937042236,321.96426,1562.0,142.5,78.70535,83.4785,0.13998707,8.91726,0
[6.855579],1.9271992444992065,323.8722,1674.0,139.5,78.14442,82.95539,0.26835546,6.8368926,1
[29.19357],4.728555679321289,505.32214,3962.0,85.0,101.05775,96.75626,0.2836143,3.2059937,0
[30.931608],4.831980228424072,507.3389,4336.0,87.0,101.15653,96.73015,0.35871896,4.009864,1
[48.142834],6.421036243438721,532.6781,4637.0,142.0,115.847534,118.06558,0.48149583,2.5774622,0
[47.231068],6.312216758728027,524.22876,4746.0,146.5,115.77381,117.980545,0.41761267,2.2817652,1
[14.775946],2.8975000381469727,276.36624,1926.0,200.5,133.86069,118.0992,0.29956728,3.0224698,0
[15.2457285],2.9308056831359863,277.6395,1975.0,196.5,136.53711,117.63866,0.38725582,3.8043458,1
[4.0658364],1.3383045196533203,193.17598,809.0,204.0,195.56628,196.87808,0.16998777,7.9669304,0
[4.3068876],1.3851732015609741,195.38113,845.0,198.0,194.89146,196.20491,0.34784475,5.397904,1
[2.5083694],-0.14919033646583557,139.07776,534.0,258.5,172.4672,173.26668,0.20356987,7.382337,0
[2.6282623],-0.022584358230233192,142.17389,566.0,257.0,171.97545,172.77281,0.46749356,4.126619,1
[3.5361555],1.1239869594573975,234.7745,1095.0,176.5,157.34656,122.848656,0.27973872,4.0302105,0
[3.753715],1.1824917793273926,237.67389,1127.0,173.0,163.75166,121.77668,0.4080941,4.0107694,1
[237.25797],15.099055290222168,544.3146,8801.0,240.5,228.1727,127.354904,0.9631253,1.0389407,0
[217.3474],14.203597068786621,479.47925,7618.0,241.5,229.36894,127.920616,0.80645585,1.0287741,1
[18.232117],3.506425380706787,348.90955,2394.0,132.0,110.295555,98.63549,0.2492445,4.132644,0
[19.60277],3.609102725982666,351.38266,2608.0,136.0,107.58983,98.45697,0.36578897,4.4753823,1
[2.0540109],0.3446277976036072,191.0606,708.0,253.5,149.93336,153.0597,0.1434389,9.688131,0
[2.202786],0.41028445959091187,193.47145,767.0,256.0,149.7583,152.78282,0.35011485,5.480148,1
[6.9586244],2.3168699741363525,493.6166,1920.0,51.5,72.26602,74.10442,0.08425196,11.160831,0
[7.30335],2.3649444580078125,496.14767,2124.0,52.5,72.063995,73.91333,0.22355379,8.467988,1
[14.290034],2.192136526107788,175.83444,1466.0,251.5,160.97426,163.26305,0.45152375,3.258988,0
[15.5275],2.3267014026641846,178.59193,1527.0,249.0,160.51544,162.76959,0.58666533,2.9495234,1
[5.275853],1.7276973724365234,349.91724,1578.0,91.0,117.81302,66.14269,0.1506391,9.883829,0
[5.594891],1.7814066410064697,352.4418,1622.0,92.0,115.07839,66.18655,0.28614748,6.5692205,1
[201.14789],13.507927894592285,1097.1904,16765.0,77.0,95.32304,96.89579,0.7981854,1.2896887,0
[205.1284],13.692831993103027,1130.9211,17359.0,72.0,93.91404,95.508255,0.8422889,1.3125775,1
[4.493963],1.4528244733810425,239.69624,1179.0,190.0,157.32066,159.1421,0.18406916,6.6867204,0
[4.68769],1.4964776039123535,241.83691,1130.0,193.0,156.74776,158.57594,0.33281115,5.451328,1
[12.54243],3.026902198791504,386.4197,2236.0,116.5,104.828995,97.63526,0.31452465,3.5099132,0
[13.034514],3.068751811981201,387.83423,2369.0,118.0,104.73576,97.464645,0.37578103,3.8690834,1
[2.630067],0.9408040046691895,245.30089,869.0,137.0,145.83075,147.65617,0.16999333,6.9709992,0
[2.86206],1.0052497386932373,247.85393,952.0,142.0,145.2595,147.09889,0.3417289,5.3965116,1
[10.172671],2.5363717079162598,393.55206,2089.0,53.5,69.64806,66.58413,0.1698008,6.936302,0
[10.42292],2.569572925567627,395.35803,2126.0,50.0,70.29079,66.04758,0.26138392,6.571092,1
[5.558849],1.2157402038574219,268.48398,1548.0,145.5,101.06161,93.87065,0.2674876,4.9562225,0
[5.8072405],1.2611627578735352,270.77795,1665.0,145.0,100.55088,93.3842,0.38615078,4.4706893,1
